type,level,skill,topics,japanese,meaning,onyomi,kunyomi,source,source_ref,tags
kanji,N4,kanji,adjectives,悪,bad,アク、オ,わる(い),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,adjectives,安,cheap; safe,アン,やす(い),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,adjectives,暗,dark,アン,くら(い),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,意,idea; mind,イ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,work,医,medicine; doctor,イ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,people,員,member,イン,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,院,institution,イン,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,運,luck; carry,ウン,はこ(ぶ),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,泳,swim,エイ,およ(ぐ),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,school,英,England; English,エイ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,position,央,center,オウ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,position,横,side; horizontal,オウ,よこ,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,屋,shop; house,オク,や,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,weather,温,warm,オン,あたた(かい)、あたた(まる)、あたた(める),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,化,change; -ization,カ、ケ,ば(ける)、ば(かす),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nouns,荷,load; cargo,カ,に,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,界,world; boundary,カイ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,開,open,カイ,ひら(く)、ひら(ける)、あ(く)、あ(ける),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,階,floor; story,カイ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,weather,寒,cold,カン,さむ(い),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,感,feeling,カン,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,school,漢,Han; China; kanji,カン,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,館,building; hall,カン,やかた,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nature,岸,shore; coast,ガン,きし,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,起,wake up; occur,キ,お(きる)、お(こる)、お(こす),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,time,期,period; term,キ、ゴ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,people,客,guest; customer,キャク、カク,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,school,究,research,キュウ,きわ(める),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,adjectives,急,urgent; hurry,キュウ,いそ(ぐ),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,school,級,class; grade,キュウ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,宮,shrine; palace,キュウ、グウ、ク,みや,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nouns,球,ball; sphere,キュウ,たま,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,time,去,leave; past,キョ、コ,さ(る),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,橋,bridge,キョウ,はし,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,work,業,business; work,ギョウ、ゴウ,わざ,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,曲,song; bend,キョク,ま(がる)、ま(げる),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,局,office; bureau,キョク,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,銀,silver,ギン,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,区,ward; district,ク,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,adjectives,苦,suffering; bitter,ク,くる(しい)、くる(しむ)、くる(しめる)、にが(い)、にが(る),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nouns,具,tool; equipment,グ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,people,君,you (informal); lord,クン,きみ,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,work,係,in charge of; connection,ケイ,かか(る)、かかり,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,adjectives,軽,light (weight),ケイ,かる(い)、かろ(やか),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,body,血,blood,ケツ,ち,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,決,decide,ケツ,き(める)、き(まる),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,school,研,polish; research,ケン,と(ぐ),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,県,prefecture,ケン,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,庫,warehouse; storage,コ、ク,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nature,湖,lake,コ,みずうみ,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,向,face; direction,コウ,む(く)、む(ける)、む(かう)、む(こう),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,adjectives,幸,happiness,コウ,しあわ(せ)、さいわ(い)、さち,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,港,harbor; port,コウ,みなと,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nouns,号,number; issue,ゴウ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nature,根,root,コン,ね,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,events,祭,festival,サイ,まつ(り)、まつ(る),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nouns,皿,plate; dish,-,さら,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,work,仕,serve,シ、ジ,つか(える),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,使,use,シ,つか(う),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,始,begin,シ,はじ(める)、はじ(まる),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,body,指,finger; point,シ,ゆび、さ(す),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,body,歯,tooth,シ,は,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,詩,poem,シ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,事,matter; thing,ジ、ズ,こと,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,持,hold,ジ,も(つ),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nouns,式,ceremony; formula,シキ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,実,reality; truth,ジツ,み、みの(る),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,写,copy; photograph,シャ,うつ(す)、うつ(る),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,people,者,person,シャ,もの,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,adjectives,若,young,ジャク、ニャク,わか(い)、も(しくは),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,主,main; master,シュ、ス,ぬし、おも,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,守,protect,シュ、ス,まも(る)、も(り),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,取,take,シュ,と(る),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,food,酒,alcohol,シュ,さけ、さか-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,受,receive,ジュ,う(ける)、う(かる),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,州,state; province,シュウ,す,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,拾,pick up; ten (formal),シュウ、ジュウ,ひろ(う),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,終,end,シュウ,お(わる)、お(える),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,習,learn,シュウ,なら(う),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,集,gather,シュウ,あつ(まる)、あつ(める)、つど(う),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,住,live; reside,ジュウ,す(む)、す(まう),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,adjectives,重,heavy,ジュウ、チョウ,おも(い)、かさ(なる)、かさ(ねる),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,宿,lodging,シュク,やど、やど(る)、やど(す),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,places,所,place,ショ,ところ,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,weather,暑,hot (weather),ショ,あつ(い),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,助,help,ジョ,たす(ける)、たす(かる)、すけ,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,time,昭,Showa (era),ショウ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,消,extinguish; erase,ショウ,き(える)、け(す),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,work,商,commerce,ショウ,あきな(う),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nouns,章,chapter; badge,ショウ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,勝,win,ショウ,か(つ)、まさ(る),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,乗,ride,ジョウ,の(る)、の(せる),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,植,plant,ショク,う(える)、う(わる),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,申,state; say (humble),シン,もう(す),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,body,身,body,シン,み,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,神,god,シン、ジン,かみ、かん、こう,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,真,true; genuine,シン,ま,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,adjectives,深,deep,シン,ふか(い)、ふか(まる)、ふか(める),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,進,advance,シン,すす(む)、すす(める),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,世,world; generation,セ、セイ,よ,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,整,arrange; order,セイ,ととの(える)、ととの(う),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,time,昔,long ago,セキ、シャク,むかし,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,全,all; whole,ゼン,まった(く)、すべ(て),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,相,mutual,ソウ、ショウ,あい,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,送,send,ソウ,おく(る),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,想,thought; idea,ソウ、ソ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,body,息,breath,ソク,いき,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,adjectives,速,fast,ソク,はや(い)、はや(める)、はや(まる)、すみ(やか),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,family,族,family; tribe,ゾク,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,他,other,タ,ほか,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,打,hit,ダ,う(つ),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,対,versus; against,タイ、ツイ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,待,wait,タイ,ま(つ),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,time,代,replace; generation,ダイ、タイ,か(わる)、か(える)、よ、しろ,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nouns,第,ordinal prefix,ダイ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,school,題,topic; title,ダイ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nature,炭,charcoal; carbon,タン,すみ,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,adjectives,短,short,タン,みじか(い),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,abstract,談,talk; discussion,ダン,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,着,wear; arrive,チャク、ジャク,き(る)、き(せる)、つ(く)、つ(ける),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,注,pour; attention,チュウ,そそ(ぐ),JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nouns,柱,pillar,チュウ,はしら,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nouns,丁,even number; street block,チョウ、テイ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,nouns,帳,notebook,チョウ,-,JLPT N4 Kanji List,https://www.tanos.co.uk,
kanji,N4,kanji,verbs,調,investigate,チョウ,しら(べる)、ととの(う)、ととの(える),JLPT N4 Kanji List,https://www.tanos.co.uk,
