type,level,skill,topics,japanese,reading,meaning,part_of_speech,verb_type,transitivity,paired_with,example,example_reading,example_meaning,source,source_ref,tags,notes
expression,N4,vocabulary,,踏む,ふむ,"to step on, to tread on",verb,godan,transitive,,足を踏みました。,あしをふみました。,I stepped on someone's foot.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,～区,～く,"~ district, ~ ward, ~ borough",suffix,,,,渋谷区に住んでいます。,しぶやくにすんでいます。,I live in Shibuya ward.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,すっと,すっと,"straight, quickly",adverb,,,,すっと部屋に入りました。,すっとへやにはいりました。,I went into the room quickly.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,盗む,ぬすむ,to steal; to rob,verb,godan,transitive,,財布を盗まれました。,さいふをぬすまれました。,My wallet was stolen.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,大抵,たいてい,"generally, usually",adverb,,,,大抵、朝ご飯を食べます。,たいてい、あさごはんをたべます。,I usually eat breakfast.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,とうとう,とうとう,"finally, at last",adverb,,,,とうとう完成しました。,とうとうかんせいしました。,It was finally completed.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,ガソリン,ガソリン,"gasoline, petrol",noun,,,,ガソリンを入れます。,ガソリンをいれます。,I put in gasoline.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,鳴る,なる,"to sound, to ring (v.i.)",verb,godan,intransitive,,電話が鳴りました。,でんわがなりました。,The phone rang.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,しっかり,しっかり,"firmly, steady",adverb,,,,しっかり勉強してください。,しっかりべんきょうしてください。,Please study hard.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,生きる,いきる,to live,verb,ichidan,intransitive,,長く生きたいです。,ながくいきたいです。,I want to live long.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,苦い,にがい,bitter,i-adjective,,,,このコーヒーは苦いです。,このコーヒーはにがいです。,This coffee is bitter.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,沸く,わく,"to boil, to grow hot",verb,godan,intransitive,,お湯が沸きました。,おゆがわきました。,The water boiled.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,意見,いけん,"opinion, view, idea",noun,,,,意見を言います。,いけんをいいます。,I state my opinion.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,やはり,やはり,"as I thought, absolutely",adverb,,,,やっぱり雨が降りました。,やっぱりあめがふりました。,"As I thought, it rained.",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,Alt. spelling: やっぱり
expression,N4,vocabulary,,やっぱり,やっぱり,"as I thought, absolutely",adverb,,,,やっぱり雨が降りました。,やっぱりあめがふりました。,"As I thought, it rained.",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,Alt. spelling: やはり
expression,N4,vocabulary,,漫画,まんが,"comic (book), cartoon",noun,,,,漫画を読みます。,まんがをよみます。,I read a comic book.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,ステレオ,ステレオ,stereo,noun,,,,ステレオで音楽を聞きます。,ステレオでおんがくをききます。,I listen to music on the stereo.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,医学,いがく,medical science,noun,,,,医学を勉強します。,いがくをべんきょうします。,I study medicine.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,テキスト,テキスト,text; text book,noun,,,,テキストを開いてください。,テキストをひらいてください。,Please open your textbook.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,～月,～つき,month,counter,,,,一月かかりました。,ひとつきかかりました。,It took one month.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,折る,おる,"to snap, to break; to bend",verb,godan,transitive,折れる,木の枝を折りました。,きのえだをおりました。,I broke a tree branch.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,～会,～かい,~ meeting,suffix,,,,発表会があります。,はっぴょうかいがあります。,There is a presentation event.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,うかがう,うかがう,to ask,verb,godan,transitive,,お宅に伺います。,おたくにうかがいます。,I will visit your home.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,聞こえる,きこえる,"to be heard, to be audible",verb,ichidan,intransitive,,音楽が聞こえます。,おんがくがきこえます。,I can hear music.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,僕,ぼく,I (used by men towards those of equal or lower status),pronoun,,,,僕は学生です。,ぼくはがくせいです。,I am a student.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,必ず,かならず,"surely, certainly",adverb,,,,必ず来てください。,かならずきてください。,Please be sure to come.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,壊す,こわす,"to break, to break down",verb,godan,transitive,壊れる,おもちゃを壊しました。,おもちゃをこわしました。,I broke the toy.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,怒る,おこる,to get angry; to scold angrily,verb,godan,intransitive,,先生が怒りました。,せんせいがおこりました。,The teacher got angry.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,床屋,とこや,barber's (shop),noun,,,,床屋へ行きます。,とこやへいきます。,I go to the barber.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,オートバイ,オートバイ,motorcycle (lit: auto-bi(ke)),noun,,,,オートバイに乗ります。,オートバイにのります。,I ride a motorcycle.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,運動,うんどうする,exercise,noun,,,,毎日運動します。,まいにちうんどうします。,I exercise every day.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,止む,やむ,"to cease, to stop",verb,godan,intransitive,,雨が止みました。,あめがやみました。,The rain stopped.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,もし,もし,if,adverb,,,,もし雨が降ったら、行きません。,もしあめがふったら、いきません。,"If it rains, I won't go.",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,表,おもて,surface; front; outside,noun,,,,紙の表に書きます。,かみのおもてにかきます。,I write on the front of the paper.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,大学生,だいがくせい,"college student, university student",noun,,,,彼は大学生です。,かれはだいがくせいです。,He is a university student.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,運転手,うんてんしゅ,driver (by occupation),noun,,,,運転手に道を聞きます。,うんてんしゅにみちをききます。,I ask the driver for directions.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,予習,よしゅう,preparation of lessons (for class),noun,,,,明日の授業の予習をします。,あしたのじゅぎょうのよしゅうをします。,I prepare for tomorrow's class.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,心配,しんぱいする,"worry, concern",noun,,,,心配しないでください。,しんぱいしないでください。,Please don't worry.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,別,べつ,"distinction, different",na-adjective,,,,それは別の問題です。,それはべつのもんだいです。,That is a different matter.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,非常に,ひじょうに,extremely; very,adverb,,,,非常に疲れました。,ひじょうにつかれました。,I got extremely tired.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --,noun,,,,お宅はどちらですか。,おたくはどちらですか。,Where is your house?,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,柔らかい,やわらかい,"soft (in reference to texture), tender",i-adjective,,,,このパンは柔らかいです。,このパンはやわらかいです。,This bread is soft.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
