type,level,skill,topics,japanese,reading,onyomi,kunyomi,meaning,example,example_reading,example_meaning,source,source_ref,tags,notes
kanji,N4,kanji,,物,もの,ブツ,もの,thing,人物,ジンブツ,person / character / figure,Genki II,Lesson 13,,
kanji,N4,kanji,,物,もの,ブツ,もの,thing,物,もの,things,Genki II,Lesson 13,,
kanji,N4,kanji,,物,もの,ブツ,もの,thing,買い物,かいもの,shopping,Genki II,Lesson 13,,
kanji,N4,kanji,,物,もの,ブツ,もの,thing,食べ物,たべもの,food,Genki II,Lesson 13,,
kanji,N4,kanji,,物,もの,ブツ,もの,thing,飲み物,のみもの,drink,Genki II,Lesson 13,,
kanji,N4,kanji,,鳥,とり,チョウ,とり,bird,黒鳥,コクチョウ,black swan,Genki II,Lesson 13,,
kanji,N4,kanji,,鳥,とり,チョウ,とり,bird,白鳥,ハクチョウ,swan,Genki II,Lesson 13,,
kanji,N4,kanji,,鳥,とり,チョウ,とり,bird,鳥,とり,bird / poultry,Genki II,Lesson 13,,
kanji,N4,kanji,,鳥,とり,チョウ,とり,bird,小鳥,ことり,small bird / little bird,Genki II,Lesson 13,,
kanji,N4,kanji,,料,リョウ,リョウ,—,ingredients / fare,料理,リョウリ,cooking,Genki II,Lesson 13,,
kanji,N4,kanji,,料,リョウ,リョウ,—,ingredients / fare,料理人,リョウリニン,cook / chef,Genki II,Lesson 13,,
kanji,N4,kanji,,料,リョウ,リョウ,—,ingredients / fare,料金,リョウキン,charge,Genki II,Lesson 13,,
kanji,N4,kanji,,理,リ,リ,—,reason,理事,リジ,director / trustee,Genki II,Lesson 13,,
kanji,N4,kanji,,理,リ,リ,—,reason,理事長,リジチョウ,board chairman,Genki II,Lesson 13,,
kanji,N4,kanji,,理,リ,リ,—,reason,道理,ドウリ,reason / logic / sense,Genki II,Lesson 13,,
kanji,N4,kanji,,特,トク,"トク, トッ",—,special,特に,トクに,especially,Genki II,Lesson 13,,
kanji,N4,kanji,,特,トク,"トク, トッ",—,special,特別な,トクベツな,special,Genki II,Lesson 13,,
kanji,N4,kanji,,特,トク,"トク, トッ",—,special,特色,トクショク,characteristic,Genki II,Lesson 13,,
kanji,N4,kanji,,安,やす,アン,やす,cheap / ease,安い,やすい,cheap,Genki II,Lesson 13,,
kanji,N4,kanji,,飯,ハン,ハン,—,food / cooked rice,ご飯,ごハン,rice / meal,Genki II,Lesson 13,,
kanji,N4,kanji,,飯,ハン,ハン,—,food / cooked rice,朝ご飯,あさごハン,breakfast,Genki II,Lesson 13,,
kanji,N4,kanji,,飯,ハン,ハン,—,food / cooked rice,昼ごはん,ひるごハン,lunch,Genki II,Lesson 13,,
kanji,N4,kanji,,肉,ニク,ニク,—,meat,肉,ニク,meat,Genki II,Lesson 13,,
kanji,N4,kanji,,肉,ニク,ニク,—,meat,牛肉,ギュウニク,beef,Genki II,Lesson 13,,
kanji,N4,kanji,,肉,ニク,ニク,—,meat,肉食,ニクショク,meat eating / carnivorous,Genki II,Lesson 13,,
kanji,N4,kanji,,悪,わる,アク,わる,bad / wrong,悪人,アクニン,bad person / villain,Genki II,Lesson 13,,
kanji,N4,kanji,,悪,わる,アク,わる,bad / wrong,悪い,わるい,bad,Genki II,Lesson 13,,
kanji,N4,kanji,,悪,わる,アク,わる,bad / wrong,気分が悪い,キブンがわるい,to feel sick,Genki II,Lesson 13,,
kanji,N4,kanji,,体,からだ,タイ,からだ,body,人体,ジンタイ,human body,Genki II,Lesson 13,,
kanji,N4,kanji,,体,からだ,タイ,からだ,body,肉体,ニクタイ,the body / the flesh,Genki II,Lesson 13,,
kanji,N4,kanji,,体,からだ,タイ,からだ,body,体,からだ,body / health,Genki II,Lesson 13,,
kanji,N4,kanji,,同,おな,ドウ,おな,same,同学年,ドウガクネン,same year in school,Genki II,Lesson 13,,
kanji,N4,kanji,,同,おな,ドウ,おな,same,同時,ドウジ,same time,Genki II,Lesson 13,,
kanji,N4,kanji,,同,おな,ドウ,おな,same,同じ,おなじ,same,Genki II,Lesson 13,,
kanji,N4,kanji,,着,つ,チャク,"つ, き, ぎ",to reach / to wear,大阪着,おおさかチャク,arriving at Osaka,Genki II,Lesson 13,,
kanji,N4,kanji,,着,つ,チャク,"つ, き, ぎ",to reach / to wear,着く,つく,to arrive,Genki II,Lesson 13,,
kanji,N4,kanji,,着,つ,チャク,"つ, き, ぎ",to reach / to wear,着る,きる,to wear,Genki II,Lesson 13,,
kanji,N4,kanji,,着,つ,チャク,"つ, き, ぎ",to reach / to wear,着物,きもの,Kimono,Genki II,Lesson 13,,
kanji,N4,kanji,,着,つ,チャク,"つ, き, ぎ",to reach / to wear,水着,みずぎ,swimwear,Genki II,Lesson 13,,
kanji,N4,kanji,,空,そら,クウ,"そら, あ, から",sky / empty,空港,クウコウ,airport,Genki II,Lesson 13,,
kanji,N4,kanji,,空,そら,クウ,"そら, あ, から",sky / empty,空気,クウキ,air,Genki II,Lesson 13,,
kanji,N4,kanji,,空,そら,クウ,"そら, あ, から",sky / empty,空,そら,sky,Genki II,Lesson 13,,
kanji,N4,kanji,,空,そら,クウ,"そら, あ, から",sky / empty,空く,あく,to be vacant,Genki II,Lesson 13,,
kanji,N4,kanji,,空,そら,クウ,"そら, あ, から",sky / empty,空手,からて,Karate,Genki II,Lesson 13,,
kanji,N4,kanji,,港,みなと,コウ,みなと,port / harbour,東京港,トウキョウコウ,Port of Tokyo,Genki II,Lesson 13,,
kanji,N4,kanji,,港,みなと,コウ,みなと,port / harbour,港,みなと,port,Genki II,Lesson 13,,
kanji,N4,kanji,,昼,ひる,チュウ,ひる,noon / daytime,昼食,チュウショク,lunch,Genki II,Lesson 13,,
