type,level,skill,topics,japanese,reading,meaning,explanation,formation,example,example_reading,example_meaning,related_vocabulary,related_kanji,source,source_ref,tags,notes
grammar,N4,grammar,te-form-extensions,〜てから,てから,"""After doing"" (sequence, emphasizes completion first)","てから emphasizes that the first action is fully completed before the second begins, making it more emphatic about sequence than a plain て form linking two verbs — compare 起きて、顔を洗います (simple sequence) with 起きてから、顔を洗います (only after waking up).",Verb て form + から,宿題をしてから、テレビを見ます。,しゅくだいをしてから、てれびをみます。,"After doing my homework, I watch TV.",テレビ;宿題,宿;題;見,Try! N4,Unit 8,n4-grammar,Emphasizes that the first action must finish before the next.
grammar,N4,grammar,te-form-extensions,〜前に,まえに,"""Before doing""","前に always takes the dictionary (plain non-past) form of the verb, even when the whole sentence describes a past event, because it marks a fixed relationship between two actions, not the tense of the sentence — 寝る前に本を読みました uses 寝る, not 寝た.",Verb (dictionary form) + 前に,寝る前に、歯を磨きます。,ねるまえに、はをみがきます。,"Before sleeping, I brush my teeth.",寝る,前;歯,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The verb stays in dictionary form even for past events.
grammar,N4,grammar,te-form-extensions,〜間に,あいだに,"""While, during"" (a one-time event happens within a period)","間に marks a short, one-time event occurring at some point within a longer background period. The key test: did the main action happen briefly during the period, or would it be odd to say it lasted the whole time? If brief, use 間に, not 間.",Verb (ている/dictionary) + 間に,母が寝ている間に、料理をしました。,ははがねているあいだに、りょうりをしました。,"While my mother was sleeping, I cooked.",料理,母;間;料,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Marks a single event happening within a period.
grammar,N4,grammar,te-form-extensions,〜間,あいだ,"""While"" (both actions last the whole period)","間 (without に) means both actions span the same length of time throughout. Testing whether your action is a ""point"" (間に) or an ongoing ""duration"" (間) is one of the trickiest N4 distinctions.",Verb (ている) + 間,母が寝ている間、テレビを見ました。,ははがねているあいだ、てれびをみました。,"While my mother was sleeping, I watched TV the whole time.",テレビ,母;間;見,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Contrast with 間に, which marks a single event."
grammar,N4,grammar,te-form-extensions,〜てしまう,てしまう,"Completion, often with a nuance of regret","てしまう often carries a nuance of regret, surprise, or an unintentional/uncontrollable action, though with achievement verbs it can simply emphasize thorough completion without any negative feeling — tone and context determine which reading applies.",Verb て form + しまう,宿題を忘れてしまいました。,しゅくだいをわすれてしまいました。,I ended up forgetting my homework.,宿題,宿;題,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Casual contraction: 〜ちゃう／〜じゃう。
grammar,N4,grammar,te-form-extensions,〜ておく,ておく,Do something in advance / leave something as is,"おく carries two related meanings: preparing something in advance for future benefit (準備しておきます) and deliberately leaving something in its current state (窓を開けておきます) — both share the idea of a deliberate, future-oriented choice.",Verb て form + おく,飲み物を買っておきます。,のみものをかっておきます。,I'll buy drinks in advance.,飲み物;おき,飲;物,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Casual contraction: 〜とく。
grammar,N4,grammar,te-form-extensions,〜てみる,てみる,"""Try doing""","てみる always implies an attempt whose outcome isn't yet known — 食べてみます specifically frames the act as an experiment or trial, which is why it pairs naturally with new experiences.",Verb て form + みる,この料理を食べてみます。,このりょうりをたべてみます。,I'll try eating this dish.,この;料理,料;食,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Implies trying something for the first time.
grammar,N4,grammar,te-form-extensions,〜てくる,てくる,"Change occurring over time, moving toward the speaker/now","てくる can describe literal motion toward the speaker, a change unfolding up to the present moment (寒くなってきました, it has gotten cold and continues), or an action begun in the past continuing to now — the metaphorical ""toward now/here"" sense is trickiest for learners.",Verb て form + くる,雨が降ってきました。,あめがふってきました。,It has started raining.,,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Also used literally: ""do and come back."""
grammar,N4,grammar,te-form-extensions,〜ていく,ていく,"Change occurring over time, moving away from the speaker/now","ていく mirrors てくる but points away from the speaker/present moment instead — for change verbs, it frames a trend continuing into the future (寒くなっていきます), the mirror image of てくる's ""up to now.""",Verb て form + いく,これから寒くなっていきます。,これからさむくなっていきます。,It's going to get colder from now on.,これから;これ,寒,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Also used literally: ""do and go."""
grammar,N4,grammar,te-form-extensions,〜ながら,ながら,"""While doing"" (two simultaneous actions by the same person)","ながら requires both actions to be done by the same single subject at the same time, with the second verb being the main, focused action. It cannot be used when two different people are doing two different simultaneous things.",Verb stem + ながら,音楽を聞きながら勉強します。,おんがくをききながらべんきょうします。,I study while listening to music.,勉強;音楽,聞;勉,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The main action is the second verb.
